# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0099009901
-4.9666666667,0.0100329974
-4.9333333333,0.0101676533
-4.9000000000,0.0103050289
-4.8666666667,0.0104451975
-4.8333333333,0.0105882353
-4.8000000000,0.0107342207
-4.7666666667,0.0108832350
-4.7333333333,0.0110353622
-4.7000000000,0.0111906893
-4.6666666667,0.0113493064
-4.6333333333,0.0115113067
-4.6000000000,0.0116767865
-4.5666666667,0.0118458461
-4.5333333333,0.0120185888
-4.5000000000,0.0121951220
-4.4666666667,0.0123755569
-4.4333333333,0.0125600089
-4.4000000000,0.0127485977
-4.3666666667,0.0129414471
-4.3333333333,0.0131386861
-4.3000000000,0.0133404482
-4.2666666667,0.0135468722
-4.2333333333,0.0137581020
-4.2000000000,0.0139742873
-4.1666666667,0.0141955836
-4.1333333333,0.0144221524
-4.1000000000,0.0146541618
-4.0666666667,0.0148917864
-4.0333333333,0.0151352079
-4.0000000000,0.0153846154
-3.9666666667,0.0156402058
-3.9333333333,0.0159021839
-3.9000000000,0.0161707633
-3.8666666667,0.0164461662
-3.8333333333,0.0167286245
-3.8000000000,0.0170183799
-3.7666666667,0.0173156842
-3.7333333333,0.0176208004
-3.7000000000,0.0179340029
-3.6666666667,0.0182555781
-3.6333333333,0.0185858252
-3.6000000000,0.0189250568
-3.5666666667,0.0192735995
-3.5333333333,0.0196317948
-3.5000000000,0.0200000000
-3.4666666667,0.0203785889
-3.4333333333,0.0207679527
-3.4000000000,0.0211685013
-3.3666666667,0.0215806637
-3.3333333333,0.0220048900
-3.3000000000,0.0224416517
-3.2666666667,0.0228914437
-3.2333333333,0.0233547851
-3.2000000000,0.0238322212
-3.1666666667,0.0243243243
-3.1333333333,0.0248316963
-3.1000000000,0.0253549696
-3.0666666667,0.0258948095
-3.0333333333,0.0264519163
-3.0000000000,0.0270270270
-2.9666666667,0.0276209182
-2.9333333333,0.0282344083
-2.9000000000,0.0288683603
-2.8666666667,0.0295236846
-2.8333333333,0.0302013423
-2.8000000000,0.0309023486
-2.7666666667,0.0316277762
-2.7333333333,0.0323787595
-2.7000000000,0.0331564987
-2.6666666667,0.0339622642
-2.6333333333,0.0347974018
-2.6000000000,0.0356633381
-2.5666666667,0.0365615860
-2.5333333333,0.0374937510
-2.5000000000,0.0384615385
-2.4666666667,0.0394667602
-2.4333333333,0.0405113432
-2.4000000000,0.0415973378
-2.3666666667,0.0427269275
-2.3333333333,0.0439024390
-2.3000000000,0.0451263538
-2.2666666667,0.0464013199
-2.2333333333,0.0477301655
-2.2000000000,0.0491159135
-2.1666666667,0.0505617977
-2.1333333333,0.0520712798
-2.1000000000,0.0536480687
-2.0666666667,0.0552961415
-2.0333333333,0.0570197668
-2.0000000000,0.0588235294
-1.9666666667,0.0607123583
-1.9333333333,0.0626915575
-1.9000000000,0.0647668393
-1.8666666667,0.0669443618
-1.8333333333,0.0692307692
-1.8000000000,0.0716332378
-1.7666666667,0.0741595253
-1.7333333333,0.0768180265
-1.7000000000,0.0796178343
-1.6666666667,0.0825688072
-1.6333333333,0.0856816449
-1.6000000000,0.0889679713
-1.5666666667,0.0924404270
-1.5333333333,0.0961127719
-1.5000000000,0.0999999995
-1.4666666667,0.1041184631
-1.4333333333,0.1084860166
-1.4000000000,0.1131221709
-1.3666666667,0.1180482673
-1.3333333333,0.1232876695
-1.3000000000,0.1288659772
-1.2666666667,0.1348112613
-1.2333333333,0.1411543249
