# Generated by QuTiP: 401x2 real matrix in decimal format [',' separated values].
-10.0000000000,0.3493996926
-9.9500000000,0.3390741542
-9.9000000000,0.3235032352
-9.8500000000,0.3041182710
-9.8000000000,0.2824379449
-9.7500000000,0.2598302705
-9.7000000000,0.2373786190
-9.6500000000,0.2158462038
-9.6000000000,0.1957061323
-9.5500000000,0.1772016468
-9.5000000000,0.1604112678
-9.4500000000,0.1453054855
-9.4000000000,0.1317904097
-9.3500000000,0.1197386628
-9.3000000000,0.1090098148
-9.2500000000,0.0994630593
-9.2000000000,0.0909645054
-9.1500000000,0.0833909221
-9.1000000000,0.0766312516
-9.0500000000,0.0705867870
-9.0000000000,0.0651706008
-8.9500000000,0.0603065950
-8.9000000000,0.0559283977
-8.8500000000,0.0519782406
-8.8000000000,0.0484058885
-8.7500000000,0.0451676581
-8.7000000000,0.0422255403
-8.6500000000,0.0395464269
-8.6000000000,0.0371014376
-8.5500000000,0.0348653375
-8.5000000000,0.0328160357
-8.4500000000,0.0309341555
-8.4000000000,0.0292026650
-8.3500000000,0.0276065625
-8.3000000000,0.0261326054
-8.2500000000,0.0247690793
-8.2000000000,0.0235055995
-8.1500000000,0.0223329407
-8.1000000000,0.0212428906
-8.0500000000,0.0202281239
-8.0000000000,0.0192820935
-7.9500000000,0.0183989368
-7.9000000000,0.0175733939
-7.8500000000,0.0168007369
-7.8000000000,0.0160767083
-7.7500000000,0.0153974661
-7.7000000000,0.0147595362
-7.6500000000,0.0141597691
-7.6000000000,0.0135953000
-7.5500000000,0.0130635128
-7.5000000000,0.0125620047
-7.4500000000,0.0120885531
-7.4000000000,0.0116410838
-7.3500000000,0.0112176435
-7.3000000000,0.0108163807
-7.2500000000,0.0104355399
-7.2000000000,0.0100734756
-7.1500000000,0.0097286850
-7.1000000000,0.0093998503
-7.0500000000,0.0090858715
-7.0000000000,0.0087858689
-6.9500000000,0.0084991496
-6.9000000000,0.0082251472
-6.8500000000,0.0079633575
-6.8000000000,0.0077132903
-6.7500000000,0.0074744432
-6.7000000000,0.0072462965
-6.6500000000,0.0070283191
-6.6000000000,0.0068199802
-6.5500000000,0.0066207596
-6.5000000000,0.0064301558
-6.4500000000,0.0062476916
-6.4000000000,0.0060729164
-6.3500000000,0.0059054077
-6.3000000000,0.0057447699
-6.2500000000,0.0055906340
-6.2000000000,0.0054426555
-6.1500000000,0.0053005131
-6.1000000000,0.0051639066
-6.0500000000,0.0050325559
-6.0000000000,0.0049061988
-5.9500000000,0.0047845898
-5.9000000000,0.0046674990
-5.8500000000,0.0045547107
-5.8000000000,0.0044460220
-5.7500000000,0.0043412427
-5.7000000000,0.0042401934
-5.6500000000,0.0041427055
-5.6000000000,0.0040486198
-5.5500000000,0.0039577862
-5.5000000000,0.0038700629
-5.4500000000,0.0037853161
-5.4000000000,0.0037034190
-5.3500000000,0.0036242516
-5.3000000000,0.0035477005
-5.2500000000,0.0034736581
-5.2000000000,0.0034020223
-5.1500000000,0.0033326963
-5.1000000000,0.0032655883
-5.0500000000,0.0032006109
-5.0000000000,0.0031376812
-4.9500000000,0.0030767205
-4.9000000000,0.0030176536
-4.8500000000,0.0029604093
-4.8000000000,0.0029049196
-4.7500000000,0.0028511197
-4.7000000000,0.0027989480
-4.6500000000,0.0027483457
-4.6000000000,0.0026992567
-4.5500000000,0.0026516275
-4.5000000000,0.0026054070
-4.4500000000,0.0025605466
-4.4000000000,0.0025169997
-4.3500000000,0.0024747217
-4.3000000000,0.0024336702
-4.2500000000,0.0023938046
-4.2000000000,0.0023550859
-4.1500000000,0.0023174772
-4.1000000000,0.0022809427
-4.0500000000,0.0022454485
-4.0000000000,0.0022109621
-3.9500000000,0.0021774523
-3.9000000000,0.0021448892
-3.8500000000,0.0021132443
-3.8000000000,0.0020824903
-3.7500000000,0.0020526010
-3.7000000000,0.0020235512
-3.6500000000,0.0019953170
-3.6000000000,0.0019678753
-3.5500000000,0.0019412042
-3.5000000000,0.0019152826
-3.4500000000,0.0018900901
-3.4000000000,0.0018656077
-3.3500000000,0.0018418167
-3.3000000000,0.0018186994
-3.2500000000,0.0017962391
-3.2000000000,0.0017744196
-3.1500000000,0.0017532254
-3.1000000000,0.0017326419
-3.0500000000,0.0017126552
-3.0000000000,0.0016932518
-2.9500000000,0.0016744193
-2.9000000000,0.0016561456
-2.8500000000,0.0016384194
-2.8000000000,0.0016212301
-2.7500000000,0.0016045676
-2.7000000000,0.0015884226
-2.6500000000,0.0015727862
-2.6000000000,0.0015576505
-2.5500000000,0.0015430081
-2.5000000000,0.0015288520
-2.4500000000,0.0015151765
-2.4000000000,0.0015019760
-2.3500000000,0.0014892460
-2.3000000000,0.0014769828
-2.2500000000,0.0014651834
-2.2000000000,0.0014538456
-2.1500000000,0.0014429685
-2.1000000000,0.0014325519
-2.0500000000,0.0014225967
-2.0000000000,0.0014131052
-1.9500000000,0.0014040811
-1.9000000000,0.0013955292
-1.8500000000,0.0013874563
-1.8000000000,0.0013798710
-1.7500000000,0.0013727838
-1.7000000000,0.0013662078
