# Generated by QuTiP: 401x2 real matrix in decimal format [',' separated values].
-10.0000000000,0.0024942689
-9.9500000000,0.0025193418
-9.9000000000,0.0025447943
-9.8500000000,0.0025706342
-9.8000000000,0.0025968693
-9.7500000000,0.0026235078
-9.7000000000,0.0026505580
-9.6500000000,0.0026780283
-9.6000000000,0.0027059276
-9.5500000000,0.0027342647
-9.5000000000,0.0027630489
-9.4500000000,0.0027922897
-9.4000000000,0.0028219967
-9.3500000000,0.0028521799
-9.3000000000,0.0028828495
-9.2500000000,0.0029140161
-9.2000000000,0.0029456903
-9.1500000000,0.0029778833
-9.1000000000,0.0030106064
-9.0500000000,0.0030438714
-9.0000000000,0.0030776903
-8.9500000000,0.0031120754
-8.9000000000,0.0031470394
-8.8500000000,0.0031825954
-8.8000000000,0.0032187568
-8.7500000000,0.0032555374
-8.7000000000,0.0032929514
-8.6500000000,0.0033310134
-8.6000000000,0.0033697385
-8.5500000000,0.0034091421
-8.5000000000,0.0034492402
-8.4500000000,0.0034900492
-8.4000000000,0.0035315859
-8.3500000000,0.0035738677
-8.3000000000,0.0036169126
-8.2500000000,0.0036607390
-8.2000000000,0.0037053659
-8.1500000000,0.0037508129
-8.1000000000,0.0037971002
-8.0500000000,0.0038442486
-8.0000000000,0.0038922796
-7.9500000000,0.0039412153
-7.9000000000,0.0039910786
-7.8500000000,0.0040418930
-7.8000000000,0.0040936829
-7.7500000000,0.0041464732
-7.7000000000,0.0042002900
-7.6500000000,0.0042551600
-7.6000000000,0.0043111108
-7.5500000000,0.0043681709
-7.5000000000,0.0044263699
-7.4500000000,0.0044857381
-7.4000000000,0.0045463071
-7.3500000000,0.0046081095
-7.3000000000,0.0046711789
-7.2500000000,0.0047355500
-7.2000000000,0.0048012591
-7.1500000000,0.0048683432
-7.1000000000,0.0049368410
-7.0500000000,0.0050067925
-7.0000000000,0.0050782390
-6.9500000000,0.0051512233
-6.9000000000,0.0052257899
-6.8500000000,0.0053019846
-6.8000000000,0.0053798552
-6.7500000000,0.0054594512
-6.7000000000,0.0055408237
-6.6500000000,0.0056240260
-6.6000000000,0.0057091131
-6.5500000000,0.0057961425
-6.5000000000,0.0058851735
-6.4500000000,0.0059762679
-6.4000000000,0.0060694898
-6.3500000000,0.0061649058
-6.3000000000,0.0062625853
-6.2500000000,0.0063626002
-6.2000000000,0.0064650255
-6.1500000000,0.0065699390
-6.1000000000,0.0066774219
-6.0500000000,0.0067875586
-6.0000000000,0.0069004369
-5.9500000000,0.0070161484
-5.9000000000,0.0071347886
-5.8500000000,0.0072564568
-5.8000000000,0.0073812568
-5.7500000000,0.0075092968
-5.7000000000,0.0076406895
-5.6500000000,0.0077755528
-5.6000000000,0.0079140097
-5.5500000000,0.0080561888
-5.5000000000,0.0082022242
-5.4500000000,0.0083522563
-5.4000000000,0.0085064320
-5.3500000000,0.0086649049
-5.3000000000,0.0088278356
-5.2500000000,0.0089953925
-5.2000000000,0.0091677520
-5.1500000000,0.0093450987
-5.1000000000,0.0095276263
-5.0500000000,0.0097155381
-5.0000000000,0.0099090473
-4.9500000000,0.0101083777
-4.9000000000,0.0103137643
-4.8500000000,0.0105254543
-4.8000000000,0.0107437073
-4.7500000000,0.0109687965
-4.7000000000,0.0112010095
-4.6500000000,0.0114406490
-4.6000000000,0.0116880339
-4.5500000000,0.0119435004
-4.5000000000,0.0122074029
-4.4500000000,0.0124801157
-4.4000000000,0.0127620338
-4.3500000000,0.0130535743
-4.3000000000,0.0133551785
-4.2500000000,0.0136673129
-4.2000000000,0.0139904713
-4.1500000000,0.0143251766
-4.1000000000,0.0146719832
-4.0500000000,0.0150314786
-4.0000000000,0.0154042866
-3.9500000000,0.0157910693
-3.9000000000,0.0161925304
-3.8500000000,0.0166094184
-3.8000000000,0.0170425295
-3.7500000000,0.0174927120
-3.7000000000,0.0179608698
-3.6500000000,0.0184479673
-3.6000000000,0.0189550338
-3.5500000000,0.0194831693
-3.5000000000,0.0200335499
-3.4500000000,0.0206074346
-3.4000000000,0.0212061719
-3.3500000000,0.0218312079
-3.3000000000,0.0224840945
-3.2500000000,0.0231664991
-3.2000000000,0.0238802148
-3.1500000000,0.0246271717
-3.1000000000,0.0254094498
-3.0500000000,0.0262292929
-3.0000000000,0.0270891245
-2.9500000000,0.0279915646
-2.9000000000,0.0289394495
-2.8500000000,0.0299358530
-2.8000000000,0.0309841106
-2.7500000000,0.0320878464
-2.7000000000,0.0332510030
-2.6500000000,0.0344778758
-2.6000000000,0.0357731502
-2.5500000000,0.0371419450
-2.5000000000,0.0385898607
-2.4500000000,0.0401230335
-2.4000000000,0.0417481973
-2.3500000000,0.0434727537
-2.3000000000,0.0453048517
-2.2500000000,0.0472534774
-2.2000000000,0.0493285577
-2.1500000000,0.0515410776
-2.1000000000,0.0539032145
-2.0500000000,0.0564284919
-2.0000000000,0.0591319550
-1.9500000000,0.0620303720
-1.9000000000,0.0651424636
-1.8500000000,0.0684891653
-1.8000000000,0.0720939237
-1.7500000000,0.0759830308
-1.7000000000,0.0801859939
-1.6500000000,0.0847359349
-1.6000000000,0.0896700029
-1.5500000000,0.0950297639
-1.5000000000,0.1008614955
-1.4500000000,0.1072162548
-1.4000000000,0.1141494824
-1.3500000000,0.1217197477
-1.3000000000,0.1299860635
-1.2500000000,0.1390031957
-1.2000000000,0.1488153334
-1.1500000000,0.1594522994
-1.1000000000,0.1709419874
-1.0500000000,0.1833638831
-1.0000000000,0.1969501502
-0.9500000000,0.2121539578
-0.9000000000,0.2295552801
-0.8500000000,0.2496590407
-0.8000000000,0.2728101063
-0.7500000000,0.2992689621
-0.7000000000,0.3293098942
-0.6500000000,0.3632606872
-0.6000000000,0.4014905474
-0.5500000000,0.4443673630
-0.5000000000,0.4921904957
-0.4500000000,0.5450937621
-0.4000000000,0.6029098884
-0.3500000000,0.6649921586
-0.3000000000,0.7300035757
-0.2500000000,0.7957123125
-0.2000000000,0.8588735908
-0.1500000000,0.9153169287
-0.1000000000,0.9603563795
-0.0500000000,0.9895533874
0.0000000000,0.9996809477
0.0500000000,0.9895533874
0.1000000000,0.9603563795
0.1500000000,0.9153169287
0.2000000000,0.8588735908
0.2500000000,0.7957123125
0.3000000000,0.7300035757
0.3500000000,0.6649921586
0.4000000000,0.6029098884
0.4500000000,0.5450937621
0.5000000000,0.4921904957
0.5500000000,0.4443673630
0.6000000000,0.4014905474
0.6500000000,0.3632606872
0.7000000000,0.3293098942
0.7500000000,0.2992689621
0.8000000000,0.2728101063
0.8500000000,0.2496590407
0.9000000000,0.2295552801
0.9500000000,0.2121539578
1.0000000000,0.1969501502
1.0500000000,0.1833638831
1.1000000000,0.1709419874
1.1500000000,0.1594522994
1.2000000000,0.1488153334
1.2500000000,0.1390031957
1.3000000000,0.1299860635
1.3500000000,0.1217197477
1.4000000000,0.1141494824
1.4500000000,0.1072162548
1.5000000000,0.1008614955
1.5500000000,0.0950297639
1.6000000000,0.0896700029
1.6500000000,0.0847359349
1.7000000000,0.0801859939
1.7500000000,0.0759830308
1.8000000000,0.0720939237
1.8500000000,0.0684891653
1.9000000000,0.0651424636
1.9500000000,0.0620303720
2.0000000000,0.0591319550
2.0500000000,0.0564284919
