# Generated by QuTiP: 301x2 real matrix in decimal format [',' separated values].
-5.0000000000,0.0150871422
-4.9666666667,0.0154870376
-4.9333333333,0.0157575918
-4.9000000000,0.0160966446
-4.8666666667,0.0164118935
-4.8333333333,0.0167667427
-4.8000000000,0.0171055170
-4.7666666667,0.0172891981
-4.7333333333,0.0178091485
-4.7000000000,0.0182541794
-4.6666666667,0.0186980560
-4.6333333333,0.0188666723
-4.6000000000,0.0195231016
-4.5666666667,0.0198358462
-4.5333333333,0.0203674363
-4.5000000000,0.0208206162
-4.4666666667,0.0211961969
-4.4333333333,0.0217316992
-4.4000000000,0.0225633179
-4.3666666667,0.0229441243
-4.3333333333,0.0234862268
-4.3000000000,0.0240061748
-4.2666666667,0.0247394956
-4.2333333333,0.0251631942
-4.2000000000,0.0259959109
-4.1666666667,0.0267886616
-4.1333333333,0.0274350792
-4.1000000000,0.0281593881
-4.0666666667,0.0288675633
-4.0333333333,0.0299192484
-4.0000000000,0.0304818929
-3.9666666667,0.0314983182
-3.9333333333,0.0327913202
-3.9000000000,0.0337259277
-3.8666666667,0.0347154256
-3.8333333333,0.0356859675
-3.8000000000,0.0369356602
-3.7666666667,0.0381721189
-3.7333333333,0.0395121152
-3.7000000000,0.0406521746
-3.6666666667,0.0422857215
-3.6333333333,0.0435225667
-3.6000000000,0.0454577350
-3.5666666667,0.0466003498
-3.5333333333,0.0486423901
-3.5000000000,0.0507251409
-3.4666666667,0.0526174778
-3.4333333333,0.0547219117
-3.4000000000,0.0568473664
-3.3666666667,0.0593246076
-3.3333333333,0.0617168978
-3.3000000000,0.0646468123
-3.2666666667,0.0673824276
-3.2333333333,0.0702736592
-3.2000000000,0.0735195460
-3.1666666667,0.0771124455
-3.1333333333,0.0807437628
-3.1000000000,0.0846748825
-3.0666666667,0.0886108961
-3.0333333333,0.0936548054
-3.0000000000,0.0980786864
-2.9666666667,0.1035546663
-2.9333333333,0.1085144562
-2.9000000000,0.1143749953
-2.8666666667,0.1200486300
-2.8333333333,0.1267024536
-2.8000000000,0.1333581645
-2.7666666667,0.1408784474
-2.7333333333,0.1479624853
-2.7000000000,0.1558791636
-2.6666666667,0.1641870291
-2.6333333333,0.1719048988
-2.6000000000,0.1804406753
-2.5666666667,0.1880872049
-2.5333333333,0.1969735186
-2.5000000000,0.2036884717
-2.4666666667,0.2107161411
-2.4333333333,0.2177793692
-2.4000000000,0.2228815237
-2.3666666667,0.2273654089
-2.3333333333,0.2302469138
-2.3000000000,0.2321259844
-2.2666666667,0.2325257594
-2.2333333333,0.2312122937
-2.2000000000,0.2287974076
-2.1666666667,0.2247502813
-2.1333333333,0.2200241052
-2.1000000000,0.2146981787
-2.0666666667,0.2071128002
-2.0333333333,0.2007178834
-2.0000000000,0.1925498695
-1.9666666667,0.1863827583
-1.9333333333,0.1786529040
-1.9000000000,0.1712231036
-1.8666666667,0.1645374697
-1.8333333333,0.1580236181
-1.8000000000,0.1515765572
-1.7666666667,0.1455691351
-1.7333333333,0.1391901692
-1.7000000000,0.1342715777
-1.6666666667,0.1288774458
-1.6333333333,0.1232211965
-1.6000000000,0.1183778167
-1.5666666667,0.1139759373
-1.5333333333,0.1089810529
-1.5000000000,0.1049906075
-1.4666666667,0.1002503685
-1.4333333333,0.0950341838
-1.4000000000,0.0905719624
-1.3666666667,0.0869741475
-1.3333333333,0.0827458271
-1.3000000000,0.0786504855
-1.2666666667,0.0749775268
-1.2333333333,0.0706050665
-1.2000000000,0.0678139927
-1.1666666667,0.0650470655
-1.1333333333,0.0616177055
-1.1000000000,0.0601055172
-1.0666666667,0.0580167468
-1.0333333333,0.0553365559
-1.0000000000,0.0538745562
-0.9666666667,0.0530420734
-0.9333333333,0.0521858470
-0.9000000000,0.0524176061
-0.8666666667,0.0517751456
-0.8333333333,0.0523836527
-0.8000000000,0.0528963505
-0.7666666667,0.0540627693
-0.7333333333,0.0563832941
-0.7000000000,0.0589008417
-0.6666666667,0.0631039696
-0.6333333333,0.0670458504
-0.6000000000,0.0732302757
-0.5666666667,0.0811651564
-0.5333333333,0.0910801561
-0.5000000000,0.1036201261
-0.4666666667,0.1193885103
-0.4333333333,0.1417960304
-0.4000000000,0.1683249988
-0.3666666667,0.2036539289
-0.3333333333,0.2477098616
-0.3000000000,0.3047043453
-0.2666666667,0.3757278760
-0.2333333333,0.4610466723
-0.2000000000,0.5581798748
-0.1666666667,0.6636773740
-0.1333333333,0.7669682751
-0.1000000000,0.8605808110
-0.0666666667,0.9352430741
-0.0333333333,0.9828766048
0.0000000000,0.9993857893
0.0333333333,0.9829593722
0.0666666667,0.9352110534
0.1000000000,0.8610550097
0.1333333333,0.7672422315
0.1666666667,0.6650187708
0.2000000000,0.5584003763
0.2333333333,0.4621808358
0.2666666667,0.3767416889
0.3000000000,0.3056164889
0.3333333333,0.2471042935
0.3666666667,0.2028535348
0.4000000000,0.1681414273
0.4333333333,0.1410144680
0.4666666667,0.1195281413
0.5000000000,0.1032490765
0.5333333333,0.0911822446
0.5666666667,0.0810434483
0.6000000000,0.0738147489
0.6333333333,0.0670296290
0.6666666667,0.0626035739
0.7000000000,0.0592914655
0.7333333333,0.0566087325
